개체1,액션1,감정1,URL
유재석,열받,,https://jjalbang.today/files/jjalbox/2015/03/85_55169cbbe7a16_1039.jpg
"홍진경,무한도전,거짓말",,,https://jjalbang.today/files/jjalbox/2020/09/20200915_5f60c3dbc5b0f.jpg
"무한도전,사이코패스",,,https://jjalbang.today/files/jjalbox/2016/08/20160820_57b83c9d84e66.jpg
"노홍철,무한도전,아닌데",,,https://jjalbang.today/files/jjalbox/2015/04/20150402_551d430195f47.jpg
"야나두,조정석",,,https://i2.ruliweb.com/img/18/03/29/1627014b6981f74ea.jpg
"주이,트로피카나",,,https://cdn.jjalbot.com/2018/12/YHONEwpZ5X/zzal.gif
"입틀막,크리스탈",,,http://file.instiz.net/data/file/20140123/f/9/7/f9750fb268583355dd0e6f535e37005a.jpg
"안녕, 퇴사",,,https://blog.kakaocdn.net/dn/ct1hgJ/btqC6mkJ1kL/pzkOVMfSuCYXmSaWgSWdr1/img.jpg
"누구인가, 궁예",,,https://img.theqoo.net/img/XyVWt.jpg
"최준석, 오예스",,,https://upload3.inven.co.kr/upload/2020/05/15/bbs/i014131782129.gif
"검정고무신, 할머니, 웃음",웃,,https://jjalbang.today/files/jjalbox/2022/01/20220101_61cfd79f22c21.jpg
"검정고무신, 할머니, 화남, 등짝, 스매싱",맞,분노,https://jjalbang.today/files/jjalbox/2022/01/20220101_61cfd6833ce01.jpeg
"검정고무신, 할머니, 눈물, 걱정",,슬픔,https://jjalbang.today/files/jjalbox/2022/01/20220101_61cfd76ed8dbc.jpg
"검정고무신, 할머니, 화남",열받,분노,https://jjalbang.today/files/jjalbox/2022/01/20220101_61cfd657914fc.jpg
"검정고무신, 할아버지, 용돈",,,https://jjalbang.today/files/jjalbox/2022/01/20220101_61cfd6efcaadf.png
"카카오, 라이언, 응원",,,https://jjalbang.today/files/jjalbox/2016/12/20161208_5849119d044a3.gif
"카카오, 라이언, 인사, 안녕",,,https://jjalbang.today/files/jjalbox/2017/12/20171219_5a3894892e649.gif
"카카오, 라이언, 축하",,,https://jjalbang.today/files/jjalbox/2017/12/20171219_5a3894e7db80b.gif
"카카오, 라이언, 따봉, 굿, 엄지척",좋,,https://jjalbang.today/files/jjalbox/2018/09/20180920_5ba2fae2c20e7.gif
"카카오, 라이언, 기쁨","신나, 좋",행복,https://jjalbang.today/files/jjalbox/2018/09/20180920_5ba2fb04ccfca.gif
"카카오, 라이언, 뽀뽀, 입술, 사랑, 하트",,,https://jjalbang.today/files/jjalbox/2018/09/20180920_5ba2faf231e8d.gif
"카카오, 라이언, 눈물",울,슬픔,https://jjalbang.today/files/jjalbox/2018/09/20180920_5ba2fac208ae5.gif
"카카오, 라이언, 복, 새해, 복주머니",,,https://jjalbang.today/files/jjalbox/2020/12/20201231_5fed6da64bc86.jpeg
"카카오, 무지, 눈빛",초롱초롱,,https://jjalbang.today/files/jjalbox/2017/12/20171219_5a38952573fdf.gif
"카카오, 추석, 한가위",,,https://jjalbang.today/files/jjalbox/2018/09/20180923_5ba6c5d6dc555.jpg
"카카오, 무지, 추석, 한가위",,,https://jjalbang.today/files/jjalbox/2018/09/20180923_5ba6c401e520e.jpg
"무한도전, 정형돈, 무한상사, 화남",싫어하,분노,https://jjalbang.today/files/jjalbox/2016/08/20160815_57b17fe1ccce5.png
"신하균, 화남, 짜증",,분노,https://jjalbang.today/files/jjalbox/2015/04/20150403_551e66cf06645.jpg
"차인표, 화난, 비, 화남",,분노,https://jjalbang.today/files/jjalbox/2015/04/20150403_551e6475118b8.jpg
"김연아, 손가락질",언짢,혐오,https://jjalbang.today/files/jjalbox/2016/08/20160829_57c3bf3c12378.gif
"이승철, 슈퍼스타K","닥치, 그만",혐오,https://jjalbang.today/files/jjalbox/2015/03/90_55169e70ac0f2_2698.gif
서유리,"꺼지, 황당, 놀라",혐오,https://jjalbang.today/files/jjalbox/2020/09/20200919_5f663b08e29bc.jpg
"김태리, 미스터선샤인",황당,혐오,https://jjalbang.today/files/jjalbox/2021/05/20210530_60b3c4a7644a3.gif
충격,"정신없, 깜, 놀라","공포, 놀람",https://jjalbang.today/files/jjalbox/2015/04/20150406_55226843650a3.jpg
만화,"깜, 놀라","공포, 놀람",https://jjalbang.today/files/jjalbox/2015/03/89_55169e3725c87_1575.jpg
"만화, 충격","깜, 놀라","공포, 놀람",https://jjalbang.today/files/jjalbox/2015/04/20150406_552268c00bf41.jpg
"전광렬, 빵, 눈물, 울음",울,슬픔,https://jjalbang.today/files/jjalbox/2015/03/108_55169b71d8459_2801.jpg
"개구리, 눈물","훌쩍, 울",슬픔,https://jjalbang.today/files/jjalbox/2015/10/20151002_560e648cbb896.jpg
"여자, 울음, 눈물, 콧구멍, 분노, 울분, 코구멍",울,슬픔,https://jjalbang.today/files/jjalbox/2015/03/92_5516a33997dea_2658.jpg
"전광렬, 눈물, 오열, 사극, 허준",울,슬픔,https://jjalbang.today/files/jjalbox/2017/12/20171219_5a38fb373d841.jpg
